gvkey,fyear,Hole_opening,Hole_closing,Non_hole
1021,1998,-0.5465562,-0.6762067,-0.5071027
1021,1999,-0.5301784,-0.6790621,-0.451326
1021,2000,-0.6240075,-0.7642503,-0.4496312
1021,2001,-0.5505608,-0.7792694,-0.506708
1021,2002,-0.5924126,-0.7650844,-0.5102329
1021,2003,-0.5851331,-0.8260936,-0.5130489
1021,2004,-0.5652413,-0.8077771,-0.4996967
1021,2005,-0.5240238,-0.7803869,-0.513696
1021,2006,-0.4739592,-0.7367311,-0.5024908
1021,2007,-0.1075718,-0.6003218,-0.4866349
1021,2008,-0.4771429,-0.5325882,-0.4655843
1034,1996,0.3989815,0.7783174,-0.2297935
1034,1997,2.56242,0.6358261,-0.0075281
1034,1998,1.687919,0.2665995,0.040623
1034,1999,2.639403,1.52007,-0.0147501
1034,2001,4.716157,1.038006,-0.3627473
1034,2002,0.3468869,1.484832,-0.3452429
1034,2003,2.109161,2.9558,-0.3063009
1034,2004,0.1896858,0.32274,-0.4011506
1034,2005,4.108777,1.398847,-0.3820076
1034,2006,0.8605731,0.1806327,-0.4403761
1034,2007,1.078028,-0.1563887,-0.4247272
1038,1996,-0.4963966,-0.4519089,-0.3883865
1038,1997,0.2094667,-0.0254702,-0.4604104
1038,1998,-0.4644805,-0.5672045,-0.490475
1038,1999,-0.5223946,-0.3957121,-0.4253952
1038,2000,-0.1739126,-0.4876105,-0.4231441
1038,2001,-0.4366761,-0.6753941,-0.4808019
1038,2002,-0.3672115,-0.5183195,-0.4700013
1038,2003,-0.5391154,-0.7097175,-0.5015143
1043,1997,-0.5019713,-0.6529059,-0.526637
1043,1998,-0.4906531,-0.6735393,-0.5089345
1045,2002,-0.3499554,-0.7043939,-0.4935713
1045,2003,-0.5341628,-0.7545145,-0.4898704
1045,2004,-0.4635223,-0.684247,-0.4790916
1045,2005,-0.355662,-0.7355254,-0.4922865
1045,2006,-0.5464643,-0.7917949,-0.4955452
1045,2008,-0.4996269,-0.7207407,-0.4735335
1045,2009,-0.5549906,-0.7949217,-0.4941925
1045,2010,-0.3124273,-0.7617512,-0.4829727
1045,2011,-0.5880318,-0.7448476,-0.4897329
1045,2012,-0.5661466,-0.8456602,-0.5097142
1048,1996,-0.3410152,1.176953,0.5481933
1048,1997,-0.0372089,-0.5835736,-0.4989868
1048,1998,-0.5434647,-0.551103,-0.1558086
1048,1999,-0.2656767,-0.4156486,-0.0147501
1048,2002,-0.3880972,-0.6086331,-0.2406003
1048,2003,-0.5869639,-0.7866638,-0.2950397
1048,2004,-0.5652413,-0.6238531,-0.1989632
1048,2005,-0.5598815,-0.6188731,-0.208539
1048,2006,-0.5273635,-0.4242533,-0.1491715
1050,2002,-0.5460144,-0.7270452,-0.5056611
1050,2003,-0.4939428,-0.811569,-0.5125023
1050,2004,-0.4502659,-0.757152,-0.497737
1050,2005,0.0073375,-0.4727432,-0.4962683
1050,2006,2.668988,1.732237,-0.3293603
1050,2007,1.279441,2.687075,-0.3299695
1050,2008,0.4904005,2.890618,-0.3236843
1050,2009,0.3686426,2.602401,-0.339391
1050,2010,1.054012,2.86671,-0.3114507
